name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;357;0;521;3135;1103;3135;1103;0
header;266;210;266;254;1901;254;1901;210
A;1072;274;1072;303;1096;303;1096;274
A;798;439;798;440;799;440;799;439
B;524;508;524;536;546;536;546;508
B;1037;510;1037;530;1052;530;1052;510
A;498;518;498;535;508;535;508;518
A;596;842;596;842;596;842;596;842
B;494;884;494;902;509;902;509;884
B;1069;951;1069;978;1088;978;1088;951
A;681;1376;681;1402;700;1402;700;1376
C;1063;1621;1063;1648;1084;1648;1084;1621
D;1062;2289;1062;2316;1083;2316;1083;2289
A;521;2460;521;2463;522;2463;522;2460
B;773;2924;773;2941;795;2941;795;2924
A;809;2962;809;2962;809;2962;809;2962
A;960;2972;960;2974;966;2974;966;2972
