name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;1153;0;1036;3117;1767;3117;1674;0
header;300;124;300;157;1908;157;1908;124
A;1268;416;1268;440;1282;440;1282;416
A;1445;425;1445;440;1453;440;1453;425
A;1250;788;1250;793;1255;793;1255;788
A;1440;926;1440;933;1447;933;1447;926
A;1453;965;1453;989;1467;989;1467;965
A;1619;984;1619;995;1625;995;1625;984
A;1577;1200;1577;1205;1583;1205;1583;1200
C;1086;1542;1086;1570;1107;1570;1107;1542
B;1670;1928;1670;1944;1679;1944;1679;1928
A;1609;1973;1609;1979;1616;1979;1616;1973
B;1471;2063;1471;2079;1479;2079;1479;2063
D;1076;2208;1076;2238;1102;2238;1102;2208
A;1457;2561;1457;2586;1471;2586;1471;2561
A;1482;2824;1482;2825;1483;2825;1483;2824
